"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"12035","*****","0500000US08099","Prowers County, Colorado"
"167412","*****","0500000US08101","Pueblo County, Colorado"
"6369","*****","0500000US08103","Rio Blanco County, Colorado"
"11300","*****","0500000US08105","Rio Grande County, Colorado"
"25317","*****","0500000US08107","Routt County, Colorado"
"6730","*****","0500000US08109","Saguache County, Colorado"
"646","158","0500000US08111","San Juan County, Colorado"
"8110","*****","0500000US08113","San Miguel County, Colorado"
"2306","*****","0500000US08115","Sedgwick County, Colorado"
"30735","*****","0500000US08117","Summit County, Colorado"
"24981","*****","0500000US08119","Teller County, Colorado"
"4869","*****","0500000US08121","Washington County, Colorado"
"315389","*****","0500000US08123","Weld County, Colorado"
"10013","*****","0500000US08125","Yuma County, Colorado"
"944306","*****","0500000US09001","Fairfield County, Connecticut"
"892153","*****","0500000US09003","Hartford County, Connecticut"
"181143","*****","0500000US09005","Litchfield County, Connecticut"
"162742","*****","0500000US09007","Middlesex County, Connecticut"
"855733","*****","0500000US09009","New Haven County, Connecticut"
"266868","*****","0500000US09011","New London County, Connecticut"
"150947","*****","0500000US09013","Tolland County, Connecticut"
"116657","*****","0500000US09015","Windham County, Connecticut"
"179124","*****","0500000US10001","Kent County, Delaware"
"558306","*****","0500000US10003","New Castle County, Delaware"
"230249","*****","0500000US10005","Sussex County, Delaware"
"701974","*****","0500000US11001","District of Columbia, District of Columbia"
"268105","*****","0500000US12001","Alachua County, Florida"
"28679","*****","0500000US12003","Baker County, Florida"
"180076","*****","0500000US12005","Bay County, Florida"
"27723","*****","0500000US12007","Bradford County, Florida"
"594001","*****","0500000US12009","Brevard County, Florida"
"1942273","*****","0500000US12011","Broward County, Florida"
"14324","*****","0500000US12013","Calhoun County, Florida"
"185926","*****","0500000US12015","Charlotte County, Florida"
"147938","*****","0500000US12017","Citrus County, Florida"
"215294","*****","0500000US12019","Clay County, Florida"
"379345","*****","0500000US12021","Collier County, Florida"
"70898","*****","0500000US12023","Columbia County, Florida"
"37371","*****","0500000US12027","DeSoto County, Florida"
"16740","*****","0500000US12029","Dixie County, Florida"
"948651","*****","0500000US12031","Duval County, Florida"
"316691","*****","0500000US12033","Escambia County, Florida"
